marker-color,marker-size,marker-symbol,zona,pret,vechime,nrcamere,lon,lat
#00ff00,medium,building,Bulevardul Decebal 22,450,3,2,26.110119097258348,44.42531555
#00ff00,medium,building,Soseaua Berceni 411,300,1,2,26.1492822,44.3612654
#00ff00,medium,building,Bulevardul Camil Ressu 1,500,2,3,26.1373856,44.4202727
#00ff00,medium,building,Bulevardul Tineretului 20,450,2,2,26.163472959093873,44.4213236
#00ff00,medium,building,Soseaua Virtutii 14,460,1,3,26.0355486,44.4389749
#00ff00,medium,building,Strada Maria Rosetti 43,420,2,2,26.109304,44.4423136
#00ff00,medium,building,Strada Baba Novac 16,450,3,3,26.1456552,44.4252541
